#ID	TIPO	NOMBRE	ATK	DEF	MAXHP	MAXSP	NIVEL	CANT	EFECTO	SPRITE
1	W	Espada Nv 1	3	0	0	0	1	0	N/N	blade/1101
2	W	Espada Nv 5	10	0	0	0	5	0	N/N	blade/1107
3	W	Espada Nv 10	20	0	0	0	10	0	N/N	blade/1104
4	W	Espada Nv 15	44	0	0	0	15	0	N/N	blade/1113
5	W	Espada Nv 20	66	0	0	0	20	0	N/N	blade/1129
6	W	Espada Nv 25	78	0	0	0	25	0	N/N	blade/1134
7	W	Espada Nv 30	101	0	0	0	30	0	N/N	blade/1131
8	W	Espada Nv 35	123	0	0	0	35	0	N/N	blade/1132
9	W	Espada Nv 40	156	0	0	0	40	0	N/N	blade/1133
10	W	Espada Nv 45	179	0	0	0	45	0	N/N	blade/13411
11	W	Espada Nv 50	223	0	0	0	50	0	N/N	blade/13402
12	W	Espada Nv 55	254	0	0	0	55	0	N/N	blade/13419
13	W	Espada Nv 60	297	0	0	0	60	0	N/N	blade/13424
14	W	Espada Nv 65	349	0	0	0	65	0	N/N	blade/1142
15	W	Espada Nv 70	407	0	0	0	70	0	N/N	blade/13418
16	W	Espada Nv 75	586	0	0	0	75	0	N/N	blade/1144
17	W	Espada Nv 80	712	0	0	0	80	0	N/N	blade/1137
18	W	Espada Nv 85	833	0	0	0	85	0	N/N	blade/1136
19	W	Espada Nv 90	1068	0	0	0	90	0	N/N	blade/13420
20	W	Espada Nv 95	1527	0	0	0	95	0	N/N	blade/13431
21	W	Martillo Nv 1	3	0	0	0	1	0	N/N	mace/1501
22	W	Martillo Nv 5	10	0	0	0	5	0	N/N	mace/1501
23	W	Martillo NV 10	20	0	0	0	10	0	N/N	mace/1501
24	W	Martillo Nv 15	44	0	0	0	15	0	N/N	mace/1501
25	W	Martillo Nv 20	66	0	0	0	20	0	N/N	mace/1501
26	W	Martillo Nv 25	78	0	0	0	25	0	N/N	mace/1501
27	W	Martillo Nv 30	101	0	0	0	30	0	N/N	mace/1501
28	W	Martillo Nv 35	123	0	0	0	35	0	N/N	mace/1501
29	W	Martillo Nv 40	156	0	0	0	40	0	N/N	mace/1501
30	W	Martillo Nv 45	179	0	0	0	45	0	N/N	mace/1501
31	W	Martillo Nv 50	223	0	0	0	50	0	N/N	mace/1501
32	W	Martillo Nv 55	254	0	0	0	55	0	N/N	mace/1501
33	W	Martillo Nv 60	297	0	0	0	60	0	N/N	mace/1501
34	W	Martillo Nv 65	349	0	0	0	65	0	N/N	mace/1501
35	W	Martillo Nv 70	407	0	0	0	70	0	N/N	mace/1501
36	W	Martillo Nv 75	586	0	0	0	75	0	N/N	mace/1501
37	W	Martillo Nv 80	712	0	0	0	80	0	N/N	mace/1501
38	W	Martillo Nv 85	833	0	0	0	85	0	N/N	mace/1501
39	W	Martillo Nv 90	1068	0	0	0	90	0	N/N	mace/1501
40	W	Martillo Nv 95	1527	0	0	0	95	0	N/N	mace/1501
41	W	Daga Nv 1	3	0	0	0	1	0	N/N	dagger/1201
42	W	Daga Nv 5	10	0	0	0	5	0	N/N	dagger/1201
43	W	Daga Nv 10	20	0	0	0	10	0	N/N	dagger/1201
44	W	Daga Nv 15	44	0	0	0	15	0	N/N	dagger/1201
45	W	Daga Nv 20	66	0	0	0	20	0	N/N	dagger/1201
46	W	Daga Nv 25	78	0	0	0	25	0	N/N	dagger/1201
47	W	Daga Nv 30	101	0	0	0	30	0	N/N	dagger/1201
48	W	Daga Nv 35	123	0	0	0	35	0	N/N	dagger/1201
49	W	Daga Nv 40	156	0	0	0	40	0	N/N	dagger/1201
50	W	Daga Nv 45	179	0	0	0	45	0	N/N	dagger/1201
51	W	Daga Nv 50	223	0	0	0	50	0	N/N	dagger/1201
52	W	Daga Nv 55	254	0	0	0	55	0	N/N	dagger/1201
53	W	Daga Nv 60	297	0	0	0	60	0	N/N	dagger/1201
54	W	Daga Nv 65	349	0	0	0	65	0	N/N	dagger/1201
55	W	Daga Nv 70	407	0	0	0	70	0	N/N	dagger/1201
56	W	Daga Nv 75	586	0	0	0	75	0	N/N	dagger/1201
57	W	Daga Nv 80	712	0	0	0	80	0	N/N	dagger/1201
58	W	Daga Nv 85	833	0	0	0	85	0	N/N	dagger/1201
59	W	Daga Nv 90	1068	0	0	0	90	0	N/N	dagger/1201
60	W	Daga Nv 95	1527	0	0	0	95	0	N/N	dagger/1201
61	W	Arco Nv 1	3	0	0	0	1	0	N/N	bow/1701
62	W	Arco Nv 5	10	0	0	0	5	0	N/N	bow/1701
63	W	Arco Nv 10	20	0	0	0	10	0	N/N	bow/1701
64	W	Arco Nv 15	44	0	0	0	15	0	N/N	bow/1701
65	W	Arco Nv 20	66	0	0	0	20	0	N/N	bow/1701
66	W	Arco Nv 25	78	0	0	0	25	0	N/N	bow/1701
67	W	Arco Nv 30	101	0	0	0	30	0	N/N	bow/1701
68	W	Arco Nv 35	123	0	0	0	35	0	N/N	bow/1701
69	W	Arco Nv 40	156	0	0	0	40	0	N/N	bow/1701
70	W	Arco Nv 45	179	0	0	0	45	0	N/N	bow/1701
71	W	Arco Nv 50	223	0	0	0	50	0	N/N	bow/1701
72	W	Arco Nv 55	254	0	0	0	55	0	N/N	bow/1701
73	W	Arco Nv 60	297	0	0	0	60	0	N/N	bow/1701
74	W	Arco Nv 65	349	0	0	0	65	0	N/N	bow/1701
75	W	Arco Nv 70	407	0	0	0	70	0	N/N	bow/1701
76	W	Arco Nv 75	586	0	0	0	75	0	N/N	bow/1701
77	W	Arco Nv 80	712	0	0	0	80	0	N/N	bow/1701
78	W	Arco Nv 85	833	0	0	0	85	0	N/N	bow/1701
79	W	Arco Nv 90	1068	0	0	0	90	0	N/N	bow/1701
80	W	Arco Nv 95	1527	0	0	0	95	0	N/N	bow/1701
81	W	Hacha Nv 1	3	0	0	0	1	0	N/N	axe/1301
82	W	Hacha Nv 5	10	0	0	0	5	0	N/N	axe/1301
83	W	Hacha Nv 10	20	0	0	0	10	0	N/N	axe/1301
84	W	Hacha Nv 15	44	0	0	0	15	0	N/N	axe/1301
85	W	Hacha Nv 20	66	0	0	0	20	0	N/N	axe/1301
86	W	Hacha Nv 25	78	0	0	0	25	0	N/N	axe/1301
87	W	Hacha Nv 30	101	0	0	0	30	0	N/N	axe/1301
88	W	Hacha Nv 35	123	0	0	0	35	0	N/N	axe/1301
89	W	Hacha Nv 40	156	0	0	0	40	0	N/N	axe/1301
90	W	Hacha Nv 45	179	0	0	0	45	0	N/N	axe/1301
91	W	Hacha Nv 50	223	0	0	0	50	0	N/N	axe/1301
92	W	Hacha Nv 55	254	0	0	0	55	0	N/N	axe/1301
93	W	Hacha Nv 60	297	0	0	0	60	0	N/N	axe/1301
94	W	Hacha Nv 65	349	0	0	0	65	0	N/N	axe/1301
95	W	Hacha Nv 70	407	0	0	0	70	0	N/N	axe/1301
96	W	Hacha Nv 75	586	0	0	0	75	0	N/N	axe/1301
97	W	Hacha Nv 80	712	0	0	0	80	0	N/N	axe/1301
98	W	Hacha Nv 85	833	0	0	0	85	0	N/N	axe/1301
99	W	Hacha Nv 90	1068	0	0	0	90	0	N/N	axe/1301
100	W	Hacha Nv 95	1527	0	0	0	95	0	N/N	axe/1301
101	P	Pocion Curativa Ligera	0	0	0	0	1	0	HP+10	potion/501
102	P	Pocion Curativa Menor	0	0	0	0	3	0	HP+25	potion/501
103	P	Pocion Curativa	0	0	0	0	8	0	HP+50	potion/501
104	P	Pocion Curativa Mayor	0	0	0	0	15	0	HP+100	potion/501
